plateid, locationid, ra, dec, apgver, vdone, vplan, SN, history
10124, 5522, 10.49422, -67.75707, 100, 13, 12, 0, 58329,58355,58417,58382,58385,58411,58414,58358,58349,58352,
10125, 5522, 10.49422, -67.75707, 100, 13, 12, 0, 58441,58444,58094,
10126, 5523, 11.25066, -73.22922, 100, 12, 12, 0, 58324,58090,58093,58096,58447,
10127, 5524, 16.98435, -75.59318, 100, 12, 12, 0, 58709,58382,58682,58416,58712,58706,58445,58386,58356,58351,58442,58766,
10128, 5525, 20.17171, -73.08001, 100, 12, 12, 0, 58418,58710,58713,58357,58707,58683,58090,58446,58354,58383,58443,58414,
10129, 5526, 24.62484, -71.15311, 100, 12, 12, 0, 58447,58766,58475,58415,58382,58714,58472,58706,58419,58092,58358,58355,
10130, 5527, 31.84894, -73.40826, 100, 12, 12, 0, 58416,58446,58114,58473,58096,58480,58093,58386,58476,58441,58356,58383,
10131, 5528, 5.99046, -72.31605, 111, 4, 3, 0, 58291,58384,58294,58322,
10132, 5528, 5.99046, -72.31605, 211, 3, 3, 0, 58292,58295,58323,
10133, 5528, 5.99046, -72.31605, 321, 3, 3, 0, 58297,58353,58356,
10134, 5528, 5.99046, -72.31605, 421, 3, 3, 0, 58419,58416,58298,
10135, 5528, 5.99046, -72.31605, 531, 3, 3, 0, 58417,58443,58440,
10136, 5528, 5.99046, -72.31605, 631, 3, 3, 0, 58444,58441,58418,
10137, 5529, 14.38745, -71.09453, 111, 3, 3, 0, 58295,58095,58298,
10138, 5529, 14.38745, -71.09453, 211, 6, 3, 0, 58352,58328,58296,58353,
10139, 5529, 14.38745, -71.09453, 321, 3, 3, 0, 58329,58357,58297,
10140, 5529, 14.38745, -71.09453, 421, 3, 3, 0, 58385,58660,58675,
10141, 2431, 55.910158, 68.438936, 111, 2, 1, 0, 58049,58048,
10152, 5530, 270.30444, -30.97792, 210, 1, 1, 0, 58211,
10153, 5530, 270.30444, -30.97792, 310, 1, 1, 0, 58212,
10154, 5531, 262.96645, -27.32352, 110, 2, 1, 0, 58644,58655,
10155, 5531, 262.96645, -27.32352, 210, 2, 1, 0, 58657,58656,
10157, 5335, 259.00143, -24.40108, 210, 3, 9, 0, 58297,58920,58329,
10158, 5532, 272.42698, -14.87425, 110, 2, 1, 0, 58656,58295,
10159, 5533, 259.81492, -37.35921, 110, 2, 1, 0, 58590,58179,
10160, 5533, 259.81492, -37.35921, 210, 2, 1, 0, 58180,58591,
10161, 5533, 259.81492, -37.35921, 310, 2, 1, 0, 58918,58181,
10162, 5534, 266.50384, -29.08085, 110, 2, 1, 0, 58657,58658,
10163, 5534, 266.50384, -29.08085, 210, 2, 1, 0, 58683,58676,
10164, 5534, 266.50384, -29.08085, 310, 3, 1, 0, 58922,58921,58923,
10166, 5535, 273.60524, -17.81363, 100, 3, 3, 0, 58298,58328,58331,
10167, 5536, 277.04935, -11.65631, 110, 2, 1, 0, 58618,58241,
10168, 5536, 277.04935, -11.65631, 210, 3, 1, 0, 58619,58621,58275,
10169, 5536, 277.04935, -11.65631, 310, 2, 1, 0, 58294,58923,
10173, 5537, 125.24804, -36.59963, 100, 3, 3, 0, 58114,58118,58151,
10174, 5538, 157.78603, -58.04926, 100, 3, 3, 0, 58117,58145,58114,
10175, 5539, 185.62926, -66.55713, 110, 3, 3, 0, 58153,58150,58178,
10176, 5540, 186.17297, -62.85627, 111, 4, 3, 0, 58154,58151,58181,58185,
10177, 5540, 186.17297, -62.85627, 211, 3, 3, 0, 58153,58207,58182,
10178, 5540, 186.17297, -62.85627, 321, 4, 3, 0, 58155,58236,58208,58211,
10179, 5540, 186.17297, -62.85627, 421, 3, 3, 0, 58212,58209,58237,
10180, 5540, 186.17297, -62.85627, 531, 3, 3, 0, 58504,58213,58210,
10181, 5540, 186.17297, -62.85627, 631, 3, 3, 0, 58505,58508,58563,
10183, 5541, 187.37319, -58.40774, 110, 3, 3, 0, 58177,58152,58150,
10184, 5542, 209.90918, -61.72333, 110, 3, 3, 0, 58236,58210,58214,
10185, 5543, 221.62707, -59.77964, 100, 3, 3, 0, 58689,58677,58657,
10194, 5545, 251.81166, -45.1751, 110, 2, 1, 0, 58591,58212,
10195, 5545, 251.81166, -45.1751, 210, 2, 1, 0, 58213,58592,
10196, 5545, 251.81166, -45.1751, 310, 1, 1, 0, 58214,
10197, 5546, 256.22182, -41.59851, 110, 2, 1, 0, 58214,58617,
10198, 5546, 256.22182, -41.59851, 210, 2, 1, 0, 58241,58618,
10199, 5546, 256.22182, -41.59851, 310, 2, 1, 0, 58298,58271,
10200, 5547, 268.92573, -32.86201, 110, 2, 1, 0, 58181,58182,
10201, 5548, 269.01834, -24.60461, 110, 2, 1, 0, 58562,58206,
10202, 5548, 269.01834, -24.60461, 210, 2, 1, 0, 58207,58594,
10203, 5548, 269.01834, -24.60461, 310, 2, 1, 0, 58235,58209,
10204, 5549, 263.6126, -33.32952, 110, 2, 1, 0, 58236,58618,
10205, 5549, 263.6126, -33.32952, 210, 2, 1, 0, 58240,58619,
10206, 5549, 263.6126, -33.32952, 310, 2, 1, 0, 58274,58299,
10207, 5214, 100.83523, -51.09979, 100, 23, 24, 0, 59151,58916,58892,59158,58889,59155,59231,58919,59157,
10208, 5214, 100.83523, -51.09979, 100, 23, 24, 0, 58209,58913,58154,58923,59224,59223,58922,
